name,price,oldPrice
"Мужской станок для бритья Gillette Mach 3 + сменные кассеты 5шт",1790.0,2290
"Шампунь для склонных к жирности волос Estel Curex ' Живой объём ' 300мл",529.0,529
"Бальзам для губ Essence Juicy Bomb glossy butter balm 05 2,5г",315.0,315
"Карандаш для бровей Vivienne Sabo автоматический 06 темно-коричневый",535.0,535
"Рассыпчатая пудра для лица Farres Love me Not Белый 13г",314.0,449
"Фиксирующий спрей для лица Essence Fix & last 18h 50мл",409.0,409
"Средство Zinger Professional ' Полная регенерация ' для поврежденных ногтей NC-41 , 12мл",299.0,299
"Энзимная пудра для умывания с азелаиновой кислотой Aravia Professional Stop-Acne Enzyme Powder 150мл",899.0,1390
"Увлажняющий спрей для волос Katsuri 150мл",399.0,399
"Мочалка Aqua Joy Romantic для ванны и душа",349.0,349
"Одноразовые станки Gillette мужские для бритья 5шт",179.0,229
"Тушь для ресниц Luxvisage MIXX ' объём - длина - изгиб ' Черная 12г",311.0,479
"Бумажные носовые платочки Familia Trio Natural 10шт",109.0,169
"Пинцет для бровей Zinger 86119 скошенный , плоский , ручная заточка",199.0,199
"Тушь для ресниц Essence I love extreme crazy volume 01 8мл",355.0,355
"Бумажные косметические салфетки Floom ' Розовые цветы ' 2х-слойные в коробке 100шт",99.0,99
"Чистящий крем Kloger Active универсальный 500мл",149.0,199
"Шампунь для поврежденных волос KeraSys Repairing 400мл",799.0,799
"Патчи от прыщей Essence Spot squad pimple patches 32шт",241.0,241
"Консилер для лица Vivienne Sabo Retouche Concealer 01 3мл",384.0,549
"Массажная расческа Ameli mini фиолетовая",199.0,199
"Питательная маска Estel Curex Classic для всех типов волос 500мл",899.0,899
"Мочалка - шар для тела Aqua Joy YPM55P-2 полиэстер в ассортименте",149.0,149
"Клиппер для маникюра Zinger 501108 большой GL BFY",229.0,229
"Клейкая лента Novaroll 48мм*52м",109.0,109
"Витаминный крем для лица Aravia Laboratories Vita Complex Cream SPF 20 с антиоксидантным комплексом 100мл",429.0,679
"Одноразовый станок для бритья Bic с защитным покрытием 5шт",169.0,169
"Мочалка Aqua Joy Wellness line для душа и ванны , с декоративной петлей , в ассортименте",159.0,159
"Бальзам - ополаскиватель для волос Pantene Pro-V Интенсивное восстановление 275мл",349.0,549
"Набор плечиков Guten Tag металл + ПВХ , в ассортименте 6шт",199.0,369
"Стойкая крем - гель краска для волос Estel Color Signature 7/44 Морской коралл",489.0,489
"Пена для укладки тонких волос Тафт Объем Сверхсильная фиксация (4) 150мл",319.0,449
"Шампунь для светлых оттенков волос Valori Professional Anti-yellow effect нейтрализующий желтизну 250мл",239.0,399
"Спрей Sanita чистящий для плит и микроволновых печей ' ' 500г",169.0,219
"Лак для укладки волос Прелесть Сильная фиксация (2) 160мл",149.0,219
"Капсулы для стирки цветного белья Synergetic Color 40шт",699.0,1290
"Пакеты для мусора Big City Life особопрочные 240л 5шт",299.0,299
"Зубная щетка D.I.E.S. ' Vogue Style ' средней жесткости 1+1 в ассортименте",249.0,249
"Мужской одноразовый станок для бритья Dorco Pace 6 лезвий",219.0,219
"Кремовый контуринг для лица Vivienne Sabo Courage 01 4,3мл",461.0,659
"Дезодорант - кристалл универсальный ' Натуральный ' без запаха 60г",261.0,349
